Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2023 Squad
Shivam Mavi,4000000,BOWLER,6,720,GT
Joshua Little,5000000,BOWLER,4.4,528,GT
Kane Williamson,20000000,BATSMAN,2,240,GT
K.S. Bharat,2000000,WICKETKEEPER,1.2,144,GT
Mohit Sharma,5000000,BOWLER,0.5,60,GT
Odean Smith,5000000,ALL-ROUNDER,0.5,60,GT
Urvil Patel,2000000,WICKETKEEPER,0.2,24,GT
Rahul Tewatia,Retained,ALL-ROUNDER,0,0,GT
Pradeep Sangwan,Retained,ALL-ROUNDER,0,0,GT
Rashid Khan,Retained,BOWLER,0,0,GT
R. Sai Kishore,Retained,BOWLER,0,0,GT
Yash Dayal,Retained,BOWLER,0,0,GT
Noor Ahmad,Retained,BOWLER,0,0,GT
Wriddhiman Saha,Retained,WICKETKEEPER,0,0,GT
Vijay Shankar,Retained,ALL-ROUNDER,0,0,GT
Shubman Gill,Retained,BATSMAN,0,0,GT
Hardik Pandya,Retained,ALL-ROUNDER,0,0,GT
B. Sai Sudharsan,Retained,ALL-ROUNDER,0,0,GT
Alzarri Joseph,Retained,BOWLER,0,0,GT
Abhinav Sadarangani,Retained,BATSMAN,0,0,GT
Darshan Nalkande,Retained,ALL-ROUNDER,0,0,GT
David Miller,Retained,BATSMAN,0,0,GT
Matthew Wade,Retained,WICKETKEEPER,0,0,GT
Jayant Yadav,Retained,ALL-ROUNDER,0,0,GT
Mohammad Shami,Retained,BOWLER,0,0,GT
Ben Stokes,20000000,ALL-ROUNDER,16.25,1950,CSK
Kyle Jamieson,10000000,BOWLER,1,120,CSK
Nishant Sindhu,2000000,ALL-ROUNDER,0.6,72,CSK
Ajinkya Rahane,5000000,BATSMAN,0.5,60,CSK
Bhagath Varma,2000000,ALL-ROUNDER,0.2,24,CSK
Ajay Mandal,2000000,ALL-ROUNDER,0.2,24,CSK
Shaik Rasheed,2000000,BATSMAN,0.2,24,CSK
Ravindra Jadeja,Retained,ALL-ROUNDER,0,0,CSK
Rajvardhan Hangargekar,Retained,ALL-ROUNDER,0,0,CSK
Prashant Solanki,Retained,BOWLER,0,0,CSK
Ruturaj Gaikwad,Retained,BATSMAN,0,0,CSK
Tushar Deshpande,Retained,BOWLER,0,0,CSK
Mukesh Choudhary,Retained,BOWLER,0,0,CSK
Subhranshu Senapati,Retained,BATSMAN,0,0,CSK
Simarjeet Singh,Retained,BOWLER,0,0,CSK
Shivam Dube,Retained,ALL-ROUNDER,0,0,CSK
Matheesha Pathirana,Retained,BOWLER,0,0,CSK
Devon Conway,Retained,BATSMAN,0,0,CSK
Deepak Chahar,Retained,BOWLER,0,0,CSK
Ambati Rayudu,Retained,BATSMAN,0,0,CSK
Dwaine Pretorius,Retained,ALL-ROUNDER,0,0,CSK
Maheesh Theekshana,Retained,BOWLER,0,0,CSK
Moeen Ali,Retained,ALL-ROUNDER,0,0,CSK
Mitchell Santner,Retained,ALL-ROUNDER,0,0,CSK
MS Dhoni,Retained,WICKETKEEPER,0,0,CSK
Mukesh Kumar,2000000,BOWLER,5.5,660,DC
Rilee Rossouw,20000000,BATSMAN,4.6,552,DC
Manish Pandey,10000000,BATSMAN,2.4,288,DC
Phil Salt,20000000,WICKETKEEPER,2,240,DC
Ishant Sharma,5000000,BOWLER,0.5,60,DC
Ripal Patel,Retained,ALL-ROUNDER,0,0,DC
Pravin Dubey,Retained,ALL-ROUNDER,0,0,DC
Rishabh Pant,Retained,WICKETKEEPER,0,0,DC
Prithvi Shaw,Retained,BATSMAN,0,0,DC
Syed Khaleel Ahmed,Retained,BOWLER,0,0,DC
Yash Dhull,Retained,ALL-ROUNDER,0,0,DC
Vicky Ostwal,Retained,ALL-ROUNDER,0,0,DC
Mustafizur Rahman,Retained,BOWLER,0,0,DC
Sarfaraz Khan,Retained,ALL-ROUNDER,0,0,DC
Rovman Powell,Retained,BATSMAN,0,0,DC
Lalit Yadav,Retained,ALL-ROUNDER,0,0,DC
Axar Patel,Retained,ALL-ROUNDER,0,0,DC
Anrich Nortje,Retained,BOWLER,0,0,DC
Aman Khan (T),Retained,ALL-ROUNDER,0,0,DC
Chetan Sakariya,Retained,BOWLER,0,0,DC
David Warner,Retained,BATSMAN,0,0,DC
Lungisani Ngidi,Retained,BOWLER,0,0,DC
