Player Name
Shivam Mavi
Joshua Little
Kane Williamson
K.S. Bharat
Mohit Sharma
Odean Smith
Urvil Patel
Rahul Tewatia
Pradeep Sangwan
Rashid Khan
R. Sai Kishore
Yash Dayal
Noor Ahmad
Wriddhiman Saha
Vijay Shankar
Shubman Gill
Hardik Pandya
B. Sai Sudharsan
Alzarri Joseph
Abhinav Sadarangani
Darshan Nalkande
David Miller
Matthew Wade
Jayant Yadav
Mohammad Shami
Ben Stokes
Kyle Jamieson
Nishant Sindhu
Ajinkya Rahane
Bhagath Varma
Ajay Mandal
Shaik Rasheed
Ravindra Jadeja
Rajvardhan Hangargekar
Prashant Solanki
Ruturaj Gaikwad
Tushar Deshpande
Mukesh Choudhary
Subhranshu Senapati
Simarjeet Singh
Shivam Dube
Matheesha Pathirana
Devon Conway
Deepak Chahar
Ambati Rayudu
Dwaine Pretorius
Maheesh Theekshana
Moeen Ali
Mitchell Santner
MS Dhoni
Mukesh Kumar
Rilee Rossouw
Manish Pandey
Phil Salt
Ishant Sharma
Ripal Patel
Pravin Dubey
Rishabh Pant
Prithvi Shaw
Syed Khaleel Ahmed
Yash Dhull
Vicky Ostwal
Mustafizur Rahman
Sarfaraz Khan
Rovman Powell
Lalit Yadav
Axar Patel
Anrich Nortje
Aman Khan (T)
Chetan Sakariya
David Warner
Lungisani Ngidi
Kuldeep Yadav
Kamlesh Nagarkoti
Mitchell Marsh
Shakib Al Hasan
David Wiese
N. Jagadeesan
Vaibhav Arora
Litton Das
Mandeep Singh
Kulwant Khejroliya
Suyash Sharma
Sunil Narine
Shreyas Iyer
Tim Southee
Umesh Yadav
Varun Chakaravarthy
Shardul Thakur (T)
Venkatesh Iyer
Harshit Rana
Anukul Roy
Andre Russell
Lockie Ferguson (T)
Nitish Rana
Rahmanullah Gurbaz (T)
Rinku Singh
Sam Curran
Sikandar Raza
Harpreet Bhatia
Mohit Rathee
Vidwath Kaverappa
Shivam Singh
Liam Livingstone
Baltej Singh Dhanda
Atharva Taide
Bhanuka Rajapakse
Jitesh Sharma
Nathan Ellis
Jonny Bairstow
Kagiso Rabada
Harpreet Brar
Shahrukh Khan
Shikhar Dhawan
Rahul Chahar
Arshdeep Singh
Prabhsimran Singh
Raj Angad Bawa
Rishi Dhawan
Nicholas Pooran
Daniel Sams
Jaydev Unadkat
Naveen Ul Haq
Amit Mishra
Romario Shepherd
Yash Thakur
Swapnil Singh
Yudhvir Charak
Prerak Mankad
Mark Wood
Marcus Stoinis
Mayank Yadav
Mohsin Khan
Quinton De Kock
Manan Vohra
Ravi Bishnoi
Deepak Hooda
Ayush Badoni
Avesh Khan
K. Gowtham
Karan Sharma
Krunal Pandya
KL Rahul
Kyle Mayers
Cameron Green
Jhye Richardson
Piyush Chawla
Raghav Goyal
Shams Mulani
Nehal Wadhera
Vishnu Vinod
Duan Jansen
Ramandeep Singh
N. Tilak Varma
Mohd. Arshad Khan
Rohit Sharma
Suryakumar Yadav
Kumar Kartikeya Singh
Tristan Stubbs*
Tim David
Hrithik Shokeen
Arjun Tendulkar
Akash Madhwal
Dewald Brevis
Ishan Kishan
Jasprit Bumrah
Jason Behrendorff (T)
Jofra Archer
Will Jacks
Reece Topley
Rajan Kumar
Avinash Singh
Manoj Bhandage
Sonu Yadav
Himanshu Sharma
Rajat Patidar
Mahipal Lomror
Shahbaz Ahamad
Mohammed Siraj
Wanindu Hasaranga
Karn Sharma
Virat Kohli
Suyash Prabhudessai
Siddharth Kaul
Finn Allen
David Willey
Anuj Rawat
Akash Deep
Dinesh Karthik
Faf Du Plessis
Harshal Patel
Glenn Maxwell
Josh Hazlewood
Jason Holder
Adam Zampa
Joe Root
Donovan Ferreira
K.M. Asif
Kunal Rathore
Abdul P A
Akash Vashisht
Murugan Ashwin
Sanju Samson
Riyan Parag
R. Ashwin
Shimron Hetmyer
Trent Boult
Prasidh Krishna
Yuzvendra Chahal
Yashasvi Jaiswal
K.C Cariappa
Dhruv Jurel
Devdutt Padikkal
Jos Buttler
Kuldeep Sen
Navdeep Saini
Kuldip Yadav
Obed Mccoy
Harry Brook
Mayank Agarwal
Heinrich Klaasen
Vivrant Sharma
Adil Rashid
Mayank Dagar
Akeal Hosein
Mayank Markande
Upendra Singh Yadav
Nitish Kumar Reddy
Samarth Vyas
Anmolpreet Singh
Sanvir Singh
Marco Jansen
Rahul Tripathi
Umran Malik
Washington Sundar
Kartik Tyagi
T. Natarajan
Fazalhaq Farooqi
Abdul Samad
Abhishek Sharma
Aiden Markram
Bhuvneshwar Kumar
Glenn Phillips
